Lat,Longs,Dates
12.887603,80.08343,06-06-2022
12.879055,80.08045,06-06-2022
12.890093,80.084503,08-06-2022
13.059914,80.078192,08-06-2022
13.020354,80.094078,09-06-2022
12.882409,80.081574,09-06-2022
13.067685,80.249649,02-08-2022
12.913228,80.074625,02-08-2022
12.885437,80.080661,03-08-2022
12.879966,80.08063,03-08-2022
12.882704,80.081336,04-08-2022
12.886615,80.077851,04-08-2022
12.886383,80.077569,05-08-2022
12.887527,80.075066,05-08-2022
12.875812,80.08381,06-08-2022
12.878952,80.080761,06-08-2022
12.885929,80.079171,08-08-2022
12.87947,80.08043,08-08-2022
12.886006,80.078921,09-08-2022
12.881086,80.081045,09-08-2022
12.884822,80.081706,10-08-2022
12.881342,80.081242,10-08-2022
12.877504,80.084656,11-08-2022
12.964758,80.197896,11-08-2022
12.965791,80.202991,12-08-2022
12.878378,80.082399,12-08-2022
12.876302,80.079218,13-08-2022
12.870405,80.076611,13-08-2022
12.876102,80.07913,15-08-2022
12.875241,80.08366,15-08-2022
12.886682,80.083122,16-08-2022
12.97846,80.225131,16-08-2022
12.964066,80.216254,17-08-2022
12.884057,80.082266,17-08-2022
12.900585,80.091827,18-08-2022
12.9794,80.226731,18-08-2022
12.956625,80.187075,19-08-2022
12.884465,80.082388,19-08-2022
12.885319,80.080874,22-08-2022
12.887753,80.083696,22-08-2022
12.885288,80.082413,23-08-2022
13.06618,80.247881,23-08-2022
13.067644,80.246471,24-08-2022
12.891437,80.08525,24-08-2022
12.879111,80.080214,25-08-2022
12.871212,80.102885,25-08-2022
12.888071,80.083677,29-08-2022
12.886117,80.08305,29-08-2022
12.88835,80.083831,30-08-2022
12.879247,80.080421,30-08-2022
12.916922,80.106912,31-08-2022
12.879078,80.080399,31-08-2022
