count(alert),Dates
385,01-06-2022
358,02-06-2022
368,03-06-2022
409,06-06-2022
283,07-06-2022
188,08-06-2022
194,09-06-2022
180,10-06-2022
173,11-06-2022
110,14-06-2022
148,15-06-2022
190,16-06-2022
224,17-06-2022
177,20-06-2022
168,21-06-2022
96,25-06-2022
167,27-06-2022
207,28-06-2022
150,29-06-2022
183,30-06-2022
236,01-07-2022
156,02-08-2022
163,03-08-2022
205,04-08-2022
201,05-08-2022
223,08-08-2022
160,09-08-2022
131,10-08-2022
161,11-08-2022
145,12-08-2022
219,15-08-2022
213,16-08-2022
202,17-08-2022
