Alert,Dates,Time,Lat,Longs,Vehicle,Speed
cas_ldw,01-06-2022,08:20:47,13.006265,80.127376,1995,58
cas_hmw,01-06-2022,08:21:29,12.999845,80.12545,1995,58
cas_hmw,01-06-2022,08:24:06,12.984884,80.120986,1995,58
cas_ldw,01-06-2022,08:25:24,12.980213,80.120703,1995,58
cas_ldw,01-06-2022,08:25:46,12.975876,80.11964,1995,55
cas_ldw,08-06-2022,08:17:28,13.011778,80.127567,1995,55
cas_ldw,08-06-2022,08:24:45,12.951457,80.114937,1995,58
cas_ldw,08-06-2022,08:25:13,12.950195,80.11067,1995,57
cas_ldw,08-06-2022,08:25:52,12.946238,80.106785,1995,0
cas_pcw,09-06-2022,07:32:43,13.169852,80.239483,1995,0
cas_hmw,09-06-2022,07:35:00,13.169839,80.239495,1995,0
cas_hmw,09-06-2022,07:35:05,13.169839,80.239495,1995,0
cas_hmw,09-06-2022,07:35:15,13.169839,80.239495,1995,0
cas_hmw,09-06-2022,07:37:52,13.169839,80.239495,1995,0
cas_hmw,09-06-2022,07:39:34,13.169853,80.239518,1995,0
cas_hmw,09-06-2022,07:39:53,13.169853,80.239518,1995,0
cas_fcw,09-06-2022,07:41:07,13.169853,80.239518,1995,0
cas_ldw,09-06-2022,07:42:28,13.169865,80.239507,1995,0
