Alert,Dates,Time,Lat,Longs,Vehicle,Speed
cas_ldw,06-06-2022,06:44:15,12.887603,80.08343,3143,60
cas_ldw,06-06-2022,06:44:55,12.894076,80.086845,3143,57
cas_ldw,06-06-2022,06:45:25,12.894076,80.086845,3143,57
cas_ldw,06-06-2022,06:46:14,12.903394,80.093849,3143,54
cas_ldw,06-06-2022,06:46:36,12.905432,80.095366,3143,51
cas_hmw,06-06-2022,06:47:19,12.909323,80.098751,3143,31
cas_hmw,06-06-2022,06:51:26,12.924104,80.115824,3143,24
cas_hmw,06-06-2022,06:54:33,12.922636,80.134914,3143,47
cas_hmw,06-06-2022,06:54:49,12.922551,80.136978,3143,34
cas_hmw,06-06-2022,06:56:38,12.922544,80.14354,3143,35
cas_fcw,06-06-2022,06:59:59,12.923716,80.155849,3143,34
cas_ldw,06-06-2022,07:00:22,12.923041,80.161228,3143,56
cas_hmw,06-06-2022,07:01:18,12.921204,80.1669,3143,55
cas_hmw,06-06-2022,07:02:00,12.919364,80.172949,3143,49
cas_ldw,06-06-2022,07:02:17,12.919063,80.174118,3143,42
cas_ldw,06-06-2022,07:04:15,12.917413,80.190745,3143,49
cas_ldw,06-06-2022,07:06:20,12.927487,80.198059,3143,42
cas_hmw,06-06-2022,07:12:25,12.955886,80.212799,3143,33
cas_hmw,06-06-2022,07:23:39,12.972489,80.21946,3143,38
cas_hmw,06-06-2022,07:31:36,12.980324,80.228192,3143,5
cas_hmw,06-06-2022,07:41:40,12.964784,80.209702,3143,30
cas_hmw,06-06-2022,07:41:58,12.965036,80.208085,3143,33
cas_pcw,06-06-2022,07:48:26,12.965344,80.1915,3143,14
cas_pcw,06-06-2022,07:52:34,12.957879,80.187071,3143,27
cas_fcw,06-06-2022,07:58:12,12.944451,80.183072,3143,32
cas_pcw,06-06-2022,07:59:40,12.940021,80.182755,3143,24
cas_pcw,06-06-2022,08:00:57,12.937566,80.182297,3143,19
cas_pcw,06-06-2022,08:01:00,12.937566,80.182297,3143,19
cas_hmw,06-06-2022,08:07:26,12.919687,80.181914,3143,42
cas_hmw,06-06-2022,08:08:19,12.918364,80.17666,3143,49
cas_hmw,06-06-2022,08:08:58,12.919326,80.172789,3143,53
cas_hmw,06-06-2022,08:09:21,12.919656,80.171456,3143,41
cas_hmw,06-06-2022,08:09:47,12.920258,80.16944,3143,40
cas_hmw,06-06-2022,08:09:49,12.920258,80.16944,3143,40
cas_hmw,06-06-2022,08:11:24,12.9232,80.160065,3143,32
cas_hmw,06-06-2022,08:13:26,12.922673,80.151684,3143,28
cas_hmw,06-06-2022,08:13:37,12.922655,80.150748,3143,43
cas_hmw,06-06-2022,08:17:54,12.922506,80.136795,3143,21
cas_hmw,06-06-2022,08:17:55,12.922506,80.136795,3143,21
cas_hmw,06-06-2022,08:21:25,12.922868,80.127332,3143,9
cas_hmw,06-06-2022,08:21:31,12.922889,80.126882,3143,24
cas_hmw,06-06-2022,08:22:04,12.923094,80.123052,3143,52
cas_fcw,06-06-2022,08:22:21,12.923264,80.120488,3143,34
cas_ldw,06-06-2022,08:29:08,12.922209,80.113593,3143,32
cas_ldw,06-06-2022,08:29:11,12.922209,80.113593,3143,32
cas_ldw,06-06-2022,08:31:04,12.913978,80.102003,3143,57
cas_hmw,06-06-2022,08:32:56,12.909003,80.098753,3143,11
cas_hmw,06-06-2022,08:35:07,12.90691,80.096865,3143,12
cas_hmw,06-06-2022,08:35:40,12.90525,80.095608,3143,13
cas_hmw,06-06-2022,08:35:46,12.903212,80.09397,3143,41
cas_hmw,06-06-2022,08:38:27,12.894792,80.087621,3143,39
cas_hmw,06-06-2022,08:46:18,12.879055,80.08045,3143,9
cas_ldw,08-06-2022,06:19:21,12.890093,80.084503,3143,53
cas_ldw,08-06-2022,06:19:35,12.892507,80.085754,3143,52
cas_hmw,08-06-2022,06:21:02,12.90139,80.092358,3143,54
cas_hmw,08-06-2022,06:21:22,12.903219,80.093749,3143,44
cas_hmw,08-06-2022,06:23:09,12.91118,80.101158,3143,39
cas_ldw,08-06-2022,06:23:18,12.91287,80.10144,3143,44
cas_ldw,08-06-2022,06:23:28,12.91287,80.10144,3143,44
cas_ldw,08-06-2022,06:25:51,12.933344,80.099412,3143,58
cas_ldw,08-06-2022,06:31:49,12.977315,80.11989,3143,58
cas_ldw,08-06-2022,06:35:14,13.003865,80.127132,3143,58
cas_ldw,08-06-2022,06:39:14,13.02782,80.145334,3143,58
cas_ldw,08-06-2022,06:40:03,13.035381,80.149073,3143,53
cas_ldw,08-06-2022,06:43:21,13.053846,80.154995,3143,58
cas_hmw,08-06-2022,06:43:47,13.05636,80.158655,3143,58
cas_hmw,08-06-2022,06:46:17,13.063163,80.166942,3143,45
cas_hmw,08-06-2022,06:49:30,13.070246,80.182138,3143,0
cas_hmw,08-06-2022,06:49:44,13.070286,80.182209,3143,11
cas_pcw,08-06-2022,06:59:15,13.075144,80.216922,3143,23
cas_hmw,08-06-2022,07:02:41,13.08788,80.21805,3143,42
cas_hmw,08-06-2022,07:39:50,13.087765,80.223434,3143,35
cas_ldw,08-06-2022,07:49:12,13.084988,80.207573,3143,55
cas_ldw,08-06-2022,07:49:37,13.085142,80.203837,3143,56
cas_ldw,08-06-2022,07:49:47,13.085142,80.203837,3143,56
